Category Identifier;Category Name;Category Path;Category Name (de);Category Name (en);Category Path (en)
ff80d21b-dabf-4454-97f0-324a003e1f9c;Zurich, canton;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Switzerland\Zurich, canton\Kloten;Zurich, canton;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Switzerland\Zurich, canton\Kloten
e669b15b-4bf7-480d-9b28-29c1bbafdb63;Kloten;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Switzerland\Zurich, canton\Kloten;Kloten;Asset\ETHBIB.Bildarchiv\Subject headings\Place\Political geography\Switzerland\Zurich, canton\Kloten
6187fa40-28e5-49a9-85b1-3b5af5f18630;Ship (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Ship (machine-generated)";Ship (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Ship (machine-generated)"
3470c90d-2e04-4922-8cf0-ecac7c647819;Table (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Table (machine-generated)";Table (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Table (machine-generated)"
72ac472b-783b-48cb-9d3a-3d2d43e37a20;SAS (Scandinavian Airlines);Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Airline companies\SAS (Scandinavian Airlines);SAS (Scandinavian Airlines);Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Airline companies\SAS (Scandinavian Airlines)
b9820a39-b916-44d3-b0c9-18bb9e337a56;Flight Attendants, Hostess;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Flight Attendants, Hostess;Flight Attendants, Hostess;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Flight Attendants, Hostess
874717db-23a7-49ce-a488-31d51cdbaf58;Airport buildings + Airport terminals;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Architecture\Secular buildings + secular architecture\Buidlings for transport\Airport\Airport buildings + Airport terminals;Airport buildings + Airport terminals;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Architecture\Secular buildings + secular architecture\Buidlings for transport\Airport\Airport buildings + Airport terminals
ce232b5b-8895-480a-94fe-82777219680f;Model (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Model (machine-generated)";Model (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Model (machine-generated)"
c52ae57d-d242-4be1-9ad6-353cd4d800d0;Machine (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Machine (machine-generated)";Machine (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Machine (machine-generated)"
0df7759d-bc4f-404d-9985-6a2b9b4ad472;Engines + Generators;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Objects + Machines\Machinery by building type\Engines + Generators;Engines + Generators;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Objects + Machines\Machinery by building type\Engines + Generators
