title,date,name,role,img,party
Jean-Luc Addor mentionne la théorie d'extrême droite du grand remplacement,27 juin 2023,Jean-Luc Addor,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
Jean-Luc Addor participe à une conférence qui annonce une section française de Pegida,19 janvier 2015,Jean-Luc Addor,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
Jean-Luc Addor souhaite rétablir la peine de mort,13 septembre 2013,Jean-Luc Addor,Député au Grand Conseil valaisan,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
Jean-Luc Addor soutient le directeur de publication du site d'extrême droite Riposte laïque,16 décembre 2016,Jean-Luc Addor,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
Jean Romain reçoit Eric Zemmour avec une délégation UDC,24 novembre 2021,Jean Romain,Député au Grand Conseil genevois,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fjean_romain_1_6c2196c5af.jpg&w=3840&q=75,PLR - GE
Jehuda Spielman mélange politique israélienne et zurichoise,01 février 2026,Jehuda Spielman,Conseiller municipal,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJehuda_Spielman_a434bc89b0.png&w=3840&q=75,PLR - ZH
Jeune UDC de Bâle campagne sont choqués par un exercice sur le populisme dans un gymnase,31 janvier 2020,Junge SVP BS,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FParteilogo_e67cee7c3d.png&w=3840&q=75,UDC - BS
Johanne Gurfinkiel assimile les zones «Apartheid Free Zone» à un concept nazi,17 avril 2024,Johanne Gurfinkiel,Secrétaire général de la CICAD,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJohanne_Gurfinkiel_bc58df6504.png&w=3840&q=75,Aucun - GE
Jörg Meichtry (UDC Loèche) : « L'homosexualité est une maladie »,09 février 2014,Jörg Meichtry,Secrétaire de la section UDC de Loèche,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fquestion_mark_vector_icon_4037039933_4a92b66344.jpg&w=3840&q=75,UDC - VS
Karin Keller-Sutter a songé à renvoyer des Afghans dans leur pays sous régime taliban,16 décembre 2022,Karin Keller-Sutter,Conseillère fédérale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fkarin_keller_sutter_1_481f3281dd.jpg&w=3840&q=75,PLR - SG
Karin Keller-Sutter vante la stabilité du gouvernement Meloni,26 janvier 2025,Karin Keller-Sutter,Présidente de la Confédération,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fkarin_keller_sutter_1_481f3281dd.jpg&w=3840&q=75,PLR - SG
Korab Rashiti (UDC) assimile le socialisme au nazisme,16 septembre 2022,Korab Rashiti,Député au Grand Conseil bernois ,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FKorab_Rashiti_1_6700f36dba.jpg&w=3840&q=75,UDC - BE
Korab Rashiti nie l’écart salarial entre hommes et femmes avec un raisonnement absurde,12 février 2026,Korab Rashiti,Ancien député,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FKorab_Rashiti_1_6700f36dba.jpg&w=3840&q=75,UDC - BE
Korab Rashiti soutient Junge Tat dans son combat contre l'idéologie woke,15 juillet 2024,Korab Rashiti,Député au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FKorab_Rashiti_1_6700f36dba.jpg&w=3840&q=75,UDC - BE
L'ONU demande des comptes à la Suisse sur l'affiche du mouton noir de l'UDC,14 septembre 2007,SVP - UDC,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
